B	nu	e_para	e_perp
0.1	115.0	9.965072984270796e-45	9.322977477763392e-44
0.301010101010101	115.0	1.497085649540745e-43	1.1487846906037447e-42
0.502020202020202	115.0	4.513915419634729e-43	3.294371080458524e-42
0.703030303030303	115.0	9.058539044214146e-43	6.448715380331869e-42
0.9040404040404041	115.0	1.5057028970033444e-42	1.0551478485058735e-41
1.105050505050505	115.0	2.2448331079048487e-42	1.5553968955629503e-41
1.3060606060606061	115.0	3.118032931313072e-42	2.1415272988213022e-41
1.507070707070707	115.0	4.120751149425242e-42	2.8100123202321503e-41
1.708080808080808	115.0	5.2489473432540295e-42	3.557756426855187e-41
1.9090909090909092	115.0	6.498989632980083e-42	4.382005140211456e-41
2.11010101010101	115.0	7.867581118341582e-42	5.280280861108844e-41
2.311111111111111	115.0	9.351704912533178e-42	6.250335388702748e-41
2.512121212121212	115.0	1.0948582484343044e-41	7.29011378768958e-41
2.713131313131313	115.0	1.265563971980904e-41	8.397726060659314e-41
2.914141414141414	115.0	1.447048093843584e-41	9.571424710945513e-41
3.1151515151515152	115.0	1.6390866875962556e-41	1.0809586489582163e-40
3.316161616161616	115.0	1.841469701110951e-41	1.2110697453879469e-40
3.5171717171717174	115.0	2.0539994250807093e-41	1.3473340488529324e-40
3.7181818181818183	115.0	2.2764892527724018e-41	1.4896184869088887e-40
3.919191919191919	115.0	2.508762536338828e-41	1.6377977318709137e-40
4.12020202020202	115.0	2.7506517699295667e-41	1.7917534519574065e-40
4.321212121212121	115.0	3.001997621740487e-41	1.9513736394281503e-40
4.522222222222222	115.0	3.262648370764679e-41	2.1165520551485365e-40
4.723232323232323	115.0	3.5324592816021803e-41	2.2871877301651003e-40
4.924242424242424	115.0	3.8112918338351307e-41	2.46318450576252e-40
5.125252525252526	115.0	4.099013542760825e-41	2.6444506774716043e-40
5.3262626262626265	115.0	4.395497447743749e-41	2.830898643973621e-40
5.527272727272727	115.0	4.700621412619693e-41	3.022444569862791e-40
5.728282828282828	115.0	5.01426827131646e-41	3.2190081610511126e-40
5.929292929292929	115.0	5.336325171124557e-41	3.420512384285291e-40
6.13030303030303	115.0	5.666683484430162e-41	3.626883267979944e-40
6.331313131313132	115.0	6.005238257238968e-41	3.838049655532858e-40
6.5323232323232325	115.0	6.351888298700016e-41	4.05394308828341e-40
6.733333333333333	115.0	6.706535834631182e-41	4.2744975934843505e-40
6.934343434343434	115.0	7.069086307182329e-41	4.499649548854562e-40
7.135353535353535	115.0	7.439448313282853e-41	4.7293375525397715e-40
7.336363636363636	115.0	7.817532889079794e-41	4.963502244099168e-40
7.537373737373738	115.0	8.203254320067545e-41	5.202086272228223e-40
7.738383838383839	115.0	8.596529290418083e-41	5.445034124136782e-40
7.9393939393939394	115.0	8.997276635403764e-41	5.692292041462558e-40
8.140404040404041	115.0	9.405418010193098e-41	5.943807944651689e-40
8.341414141414141	115.0	9.820877094976323e-41	6.1995313356735494e-40
8.542424242424243	115.0	1.0243579321162145e-40	6.459413178049887e-40
8.743434343434343	115.0	1.0673452577353538e-40	6.723405907697454e-40
8.944444444444445	115.0	1.1110426449840014e-40	6.991463297584735e-40
9.145454545454545	115.0	1.1554432529302038e-40	7.263540433021491e-40
9.346464646464646	115.0	1.200540416525879e-40	7.539593635387469e-40
9.547474747474748	115.0	1.2463275892728928e-40	7.819580356545432e-40
9.748484848484848	115.0	1.2927984403833107e-40	8.103459230173306e-40
9.94949494949495	115.0	1.3399467737891408e-40	8.39118994939933e-40
10.15050505050505	115.0	1.3877665378345995e-40	8.682733235549157e-40
10.351515151515152	115.0	1.4362518246227402e-40	8.978050800571546e-40
10.552525252525253	115.0	1.4853968874788207e-40	9.277105329138859e-40
10.753535353535353	115.0	1.5351960463866908e-40	9.579860350888881e-40
10.954545454545455	115.0	1.5856438025881102e-40	9.886280323684965e-40
11.155555555555555	115.0	1.636734764356918e-40	1.0196330529855776e-39
11.356565656565657	115.0	1.6884636646503941e-40	1.0509977065903677e-39
11.557575757575757	115.0	1.7408253130804483e-40	1.0827186768061956e-39
11.758585858585858	115.0	1.7938146634314262e-40	1.1147927254805083e-39
11.95959595959596	115.0	1.847426766167338e-40	1.1472166855661284e-39
12.16060606060606	115.0	1.9016567674188715e-40	1.1799874587729339e-39
12.361616161616162	115.0	1.9564999193553957e-40	1.2131020144724005e-39
12.562626262626262	115.0	2.011951549589734e-40	1.2465573846123261e-39
12.763636363636364	115.0	2.0680071088492556e-40	1.2803506665582311e-39
12.964646464646465	115.0	2.124662087208105e-40	1.3144790128845943e-39
13.165656565656565	115.0	2.1819121016040353e-40	1.348939638382448e-39
13.366666666666667	115.0	2.2397528426318755e-40	1.3837298130771046e-39
13.567676767676767	115.0	2.2981800727073716e-40	1.4188468604604306e-39
13.768686868686869	115.0	2.3571896492721596e-40	1.4542881583000957e-39
13.969696969696969	115.0	2.4167774670238526e-40	1.4900511314199178e-39
14.17070707070707	115.0	2.4769395265631874e-40	1.5261332571865075e-39
14.371717171717172	115.0	2.5376718973852976e-40	1.5625320604912256e-39
14.572727272727272	115.0	2.5989707072996234e-40	1.599245111432439e-39
14.773737373737374	115.0	2.6608321540237583e-40	1.6362700252694484e-39
14.974747474747474	115.0	2.723252530022055e-40	1.6736044637521167e-39
15.175757575757576	115.0	2.7862280983536854e-40	1.711246121599921e-39
15.376767676767678	115.0	2.8497552773805723e-40	1.749192743912857e-39
15.577777777777778	115.0	2.9138305104949704e-40	1.78744211212774e-39
15.77878787878788	115.0	2.978450287817538e-40	1.8259920452126943e-39
15.97979797979798	115.0	3.0436112010765503e-40	1.8648404042187986e-39
16.18080808080808	115.0	3.109309848701058e-40	1.9039850818901212e-39
16.381818181818183	115.0	3.1755428985749493e-40	1.9434240080750345e-39
16.582828282828284	115.0	3.2423071139229546e-40	1.9831551514840575e-39
16.783838383838383	115.0	3.3095991754927464e-40	2.0231765011091253e-39
16.984848484848484	115.0	3.3774159488250583e-40	2.0634860921817902e-39
17.185858585858586	115.0	3.4457543015642584e-40	2.1040819871642245e-39
17.386868686868688	115.0	3.5146111481842154e-40	2.1449622795091026e-39
17.587878787878786	115.0	3.5839834488299746e-40	2.1861250928571405e-39
17.788888888888888	115.0	3.6538681972752213e-40	2.2275685791710446e-39
17.98989898989899	115.0	3.72426246245693e-40	2.2692909222508826e-39
18.19090909090909	115.0	3.795163309579614e-40	2.3112903292290204e-39
18.391919191919193	115.0	3.866567900054441e-40	2.3535650399701364e-39
18.59292929292929	115.0	3.938473455787514e-40	2.3961133229267647e-39
18.793939393939393	115.0	4.010877058484583e-40	2.4389334545161924e-39
18.994949494949495	115.0	4.0837760252082985e-40	2.4820237561414194e-39
19.195959595959597	115.0	4.157167644221352e-40	2.5253825672587738e-39
19.3969696969697	115.0	4.231049240647124e-40	2.5690082514444723e-39
19.597979797979797	115.0	4.3054181756435365e-40	2.612899195829031e-39
19.7989898989899	115.0	4.3802718456029366e-40	2.6570538105500762e-39
20.0	115.0	4.455607678501913e-40	2.7014705279352984e-39
0.1	115.60606060606061	9.871895000079129e-45	9.24841775262227e-44
0.301010101010101	115.60606060606061	1.4874751016265418e-43	1.1421132933534586e-42
0.502020202020202	115.60606060606061	4.487893860983515e-43	3.2767916397746024e-42
0.703030303030303	115.60606060606061	9.009153961602363e-43	6.415814802890794e-42
0.9040404040404041	115.60606060606061	1.497786519336637e-42	1.0499255067350883e-41
1.105050505050505	115.60606060606061	2.2333397330889136e-42	1.547874158471393e-41
1.3060606060606061	115.60606060606061	3.102398484239109e-42	2.1313621050582072e-41
1.507070707070707	115.60606060606061	4.1004413630719334e-42	2.796884393193788e-41
1.708080808080808	115.60606060606061	5.2234537976664364e-42	3.5413640972630903e-41
1.9090909090909092	115.60606060606061	6.467826652636432e-42	4.3620628930672155e-41
2.11010101010101	115.60606060606061	7.830283277594689e-42	5.256517389248199e-41
2.311111111111111	115.60606060606061	9.307824982842022e-42	6.222492013656227e-41
2.512121212121212	115.60606060606061	1.089768973032376e-41	7.257943156818286e-41
2.713131313131313	115.60606060606061	1.2597318442350296e-41	8.360991053859303e-41
2.914141414141414	115.60606060606061	1.4404329228769976e-41	9.52989751298592e-41
3.1151515151515152	115.60606060606061	1.6316495548260995e-41	1.0763047795314768e-40
3.316161616161616	115.60606060606061	1.833172865027854e-41	1.2058935777895118e-40
